X1,Z1,X3,Z3,X5,Z5,X7,Z7
-3.55E-06,-1.52E-05,-2.94E-06,-1.48E-06,5.58E-05,1.48E-07,0.00013169,-8.68E-06
1.51E-06,-1.19E-05,-5.47E-07,-4.08E-06,5.21E-05,-4.21E-06,0.000141182,-7.12E-06
6.41E-06,-8.80E-06,4.09E-06,-4.31E-06,4.86E-05,-8.49E-06,0.000149251,-4.88E-06
1.07E-05,-6.17E-06,1.03E-05,-2.12E-06,4.55E-05,-1.23E-05,0.00015541,-1.96E-06
1.40E-05,-4.10E-06,1.72E-05,2.18E-06,4.32E-05,-1.54E-05,0.000159229,1.47E-06
1.61E-05,-2.48E-06,2.39E-05,8.04E-06,4.16E-05,-1.75E-05,0.000160425,5.13E-06
1.71E-05,-1.08E-06,2.94E-05,1.48E-05,4.04E-05,-1.85E-05,0.000158944,8.57E-06
1.70E-05,3.03E-07,3.32E-05,2.18E-05,3.93E-05,-1.88E-05,0.00015501,1.13E-05
1.62E-05,1.82E-06,3.49E-05,2.85E-05,3.79E-05,-1.85E-05,0.000149128,1.29E-05
1.51E-05,3.59E-06,3.44E-05,3.45E-05,3.57E-05,-1.76E-05,0.00014202,1.32E-05
1.40E-05,5.63E-06,3.20E-05,3.95E-05,3.26E-05,-1.63E-05,0.000134564,1.24E-05
1.32E-05,7.78E-06,2.81E-05,4.34E-05,2.87E-05,-1.43E-05,0.000127754,1.15E-05
1.23E-05,9.61E-06,2.32E-05,4.61E-05,2.43E-05,-1.19E-05,0.0001225,1.11E-05
1.11E-05,1.06E-05,1.80E-05,4.79E-05,1.99E-05,-9.29E-06,0.000119266,1.20E-05
9.34E-06,1.05E-05,1.30E-05,4.87E-05,1.60E-05,-6.78E-06,0.000117869,1.42E-05
7.40E-06,9.21E-06,8.46E-06,4.85E-05,1.32E-05,-4.60E-06,0.000117641,1.75E-05
5.85E-06,7.04E-06,4.85E-06,4.72E-05,1.19E-05,-2.75E-06,0.000117771,2.10E-05
5.07E-06,4.25E-06,2.37E-06,4.49E-05,1.20E-05,-1.06E-06,0.000117593,2.42E-05
